Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
Maggie Lindemann,1492524310,3518587,40,0,2,2022-09-19
Jeezy,1485078408,1437063010,552,0,2,2022-07-31
Talking Heads,1484242370,0,215,0,3,2022-09-04
Bruno Martini,1482924670,27749916,105,0,4,2022-08-26
Supertramp,1480511283,35955,119,0,4,2022-08-23
Hungria Hip Hop,1480092466,71737408,68,0,1,2022-07-31
Wu-Tang Clan,1479460962,15206987,351,0,2,2022-07-31
Vince Staples,1478107395,583523563,97,0,2,2022-08-09
Brantley Gilbert,1477281228,127058982,117,0,2,2022-07-31
Tori Kelly,1473981175,564051955,98,0,3,2022-09-04
Counting Crows,1473624597,4503425,192,0,3,2022-08-15
Marracash,1472923263,534687416,196,0,0,2022-08-20
Foreigner,1468972124,354623,284,0,4,2022-09-04
Andrés Calamaro,1463467941,169406253,521,0,2,2022-09-05
Tom Petty and the Heartbreakers,1463007847,3703828,248,0,3,2022-09-03
Hombres G,1461546570,65545893,275,0,3,2022-07-31
Lupe Fiasco,1458913538,284182379,182,0,3,2022-09-20
$NOT,1456594009,110324095,58,0,3,2022-07-31
Upchurch,1451882160,160013519,245,0,0,2022-07-31
Canserbero,1451762300,20576666,88,0,3,2022-08-06
ZHU,1450364098,53933968,120,0,2,2022-07-31
Cristian Castro,1449606688,171308397,236,0,3,2022-07-31
Megadeth,1449001793,785779,419,0,2,2022-09-14
D-Block Europe,1448961530,94674597,150,0,0,2022-08-22
Bryce Vine,1444948521,4590271,81,0,4,2022-07-31
Gustavo Mioto,1444828975,72447438,119,0,4,2022-07-31
Showtek,1441997312,69934802,267,0,2,2022-07-31
Pabllo Vittar,1440938225,307806312,125,0,2,2022-08-24
Kelly Rowland,1439718750,614405577,126,0,3,2022-08-16
The All-American Rejects,1439069693,0,86,0,4,2022-07-31
Jack & Jack,1438739447,45772171,43,0,2,2022-07-31
Ben&Ben,1437489824,17825818,57,0,4,2022-08-31
The Head And The Heart,1436917213,0,95,0,4,2022-07-31
ONE OK ROCK,1436289806,2588340,129,0,1,2022-09-10
Melim,1435884104,89883469,85,0,3,2022-08-26
Jacquees,1433486084,297096889,120,0,2,2022-09-13
RÜFÜS DU SOL,1431266723,11103276,148,0,2,2022-07-31
SCH,1430189357,650133345,114,0,0,2022-07-31
Young the Giant,1429779508,0,78,0,3,2022-08-26
Gemitaiz,1429778231,704443260,174,0,1,2022-07-31
Central Cee,1428646963,8720636,49,0,5,2022-09-20
Empire of the Sun,1428482992,230676529,108,0,3,2022-07-31
Alanis Morissette,1426836551,494969,300,0,3,2022-09-16
Icona Pop,1426680056,222797489,121,0,3,2022-07-31
Dustin Lynch,1426154511,11048052,83,0,4,2022-08-07
The Temptations,1425942696,64781659,732,0,3,2022-08-05
Simone & Simaria,1425339491,238959423,122,0,4,2022-08-31
Gotye,1424591618,10576378,46,1,1,2022-07-31
NIKI,1422920850,231405433,55,0,4,2022-09-14
Duke Dumont,1422096182,24622115,121,0,2,2022-07-31
Laura Pausini,1421622604,293291443,434,0,0,2022-09-13
Beck,1420597420,83871063,300,0,1,2022-08-17
